ENSGID	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
ENSG00000162009		0.013766999999999998			10.503468	0.038564			2.704345								0.02145		13.757976999999999	2.818591	0.010440000000000001		0.025960000000000004		5.324807			1.481199	2.189251		0.072562	0.04093	0.052473	0.029494				0.02083	1.144925		20.094681
ENSG00000074370	0.958464	2.52973	2.7560540000000002	0.900375	6.876278	1.093389	0.404959	1.047778	8.682464999999999	8.396061	0.857784	0.578271	4.044556	0.248534	3.6071690000000003	0.908648	0.7927810000000001	1.2401469999999999	3.9300059999999997	2.632748	20.067625	1.1900700000000002	3.549817	17.575567000000003	3.7724290000000003	4.262251999999999	2.4901720000000003	8.039977	11.826205	1.9967409999999999	1.224143	2.051544	8.201255	6.476421	1.943448	0.497853	2.572388	0.672766	3.673059	12.077257000000001	5.24109
ENSG00000112742	0.899019	12.522287	1.9780400000000002	0.378761	2.5114389999999998	2.530328	0.379463	5.015926	1.307343	2.090494	0.16381800000000002	1.166841	0.258924	2.3090580000000003	1.973393	6.443957	0.321252	12.699338000000001	2.02667	1.08241	3.871231	0.664963	2.934907	0.379336	0.352416	0.533393	10.577389	6.061223	4.058971	0.11325199999999999	0.15789	1.063899	0.6248229999999999	1.525313	0.104706	0.6779970000000001	0.167453	1.4626860000000002	0.43688599999999994	1.663823	0.82634
ENSG00000253170																																									
ENSG00000172421	0.047365	0.041276	0.015444	0.008223999999999999	0.02508	0.026216000000000003	0.022481	0.034588	0.065857	0.02766	0.012347	0.037232999999999995	0.012837999999999999	0.01436	0.013271999999999999	0.025557	0.015156999999999999	0.009172	0.036556		0.008487	0.026746	0.025486	0.034473000000000004	0.043448	0.016902	0.019333000000000003	0.042419	0.068981	0.008927	0.015806	0.013890999999999999	0.007379000000000001	0.032753	0.011966	0.046486	0.007866	0.015638	0.015063	0.01949	0.0073219999999999995
ENSG00000263690	0.0			0.0							0.128465			0.014525999999999999											0.017965000000000002																
ENSG00000243015	2.750624	2.6246389999999997	3.2627490000000003	1.7205419999999998	1.8456439999999998	0.783829	0.277452	1.150724	2.143506	0.272376	2.543278	1.6967279999999998	0.308927	4.657189	2.013466	3.4349800000000004	1.139607	0.832606	1.536195	1.6736659999999999	2.937046	0.69829	1.052651	1.5847040000000001	1.6627509999999999	1.8480720000000002	2.554294	2.336432	3.913877	1.1432579999999999	0.130906	1.2401209999999998	1.239762	0.49411499999999997	0.861822	0.799741	1.889835	1.576143	4.996238	1.4276959999999999	1.526167
ENSG00000269376	0.0	0.0	0.0	0.0	0.107424	0.0	0.0	0.0	0.109979	0.022391	0.040323000000000005	0.06072999999999999	0.035248	0.038945999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068151	0.077066	0.0	0.0	0.080413	0.049233	0.0	0.0	0.059612	0.0	0.06189600000000001	0.0	0.036862	0.0	0.0	0.15363	0.086667	0.016406
ENSG00000270137	0.19802999999999998	0.031830000000000004	0.040222	0.087546	0.091403	0.0	0.0	0.045458	0.147675	0.0	0.034592000000000005	0.036496	0.0	0.0	0.0	0.0	0.0	0.019861	0.202218	0.079613	0.019204	0.0	0.0	0.043383	0.016169	0.0	0.033014999999999996	0.035992	0.0	0.0	0.038488999999999995	0.0	0.072378	0.0	0.08251599999999999	0.0	0.0	0.0	0.078586	0.078399	0.0
ENSG00000249784	0.0	0.400002	0.0	0.0	0.461107	0.0	0.0	0.18456199999999998	0.579933	0.111508	0.0	0.485092	0.0	0.060662	0.20980100000000002	0.0	0.0	0.39965100000000003	0.34615799999999997	0.0	0.646957	0.135127	0.0	0.0	0.0	0.12322899999999999	0.398926	0.515357	0.25561799999999996	0.226742	0.0	0.0	0.0	0.207546	0.0	0.0	0.0	0.113482	0.0	0.0	0.275988
